id,title,company,sector,location,duration_months,stipend,description,required_skills,education_requirement,application_deadline
INT001,Software Development Intern,Tech Innovations Pvt Ltd,Technology,Delhi,6,15000,Work on web applications using modern technologies and frameworks. Gain hands-on experience in full-stack development.,"Python,JavaScript,React,HTML,CSS",Undergraduate,2024-03-15
INT002,Digital Marketing Intern,Creative Solutions Agency,Marketing,Mumbai,4,12000,Learn digital marketing strategies including social media management and content creation.,"Social Media Marketing,Content Writing,Google Analytics,SEO",Undergraduate,2024-03-20
INT003,Data Analysis Intern,DataTech Solutions,Technology,Bangalore,6,18000,Analyze large datasets and create insights using statistical tools and programming languages.,"Python,Excel,SQL,Statistics,Data Visualization",Graduate,2024-04-01
INT004,Graphic Design Intern,Design Studio Pro,Creative,Pune,3,10000,Create visual content for various digital and print media platforms.,"Adobe Photoshop,Adobe Illustrator,Creative Design,UI/UX",Diploma,2024-03-25
INT005,Finance Intern,Global Finance Corp,Finance,Delhi,5,14000,Assist with financial analysis and reporting. Learn corporate finance fundamentals.,"Excel,Financial Analysis,Accounting,Mathematics",Undergraduate,2024-04-10
INT006,Healthcare Research Intern,MedLife Research,Healthcare,Chennai,4,16000,Support clinical research projects and data collection for medical studies.,"Research Methods,Data Collection,Excel,Biology,Medical Knowledge",Graduate,2024-03-30
INT007,Content Writing Intern,Media House India,Media,Kolkata,3,8000,Write engaging content for websites blogs and social media platforms.,"Content Writing,SEO,Research,Communication,English Proficiency",Diploma,2024-04-05
INT008,Mobile App Development Intern,AppCraft Technologies,Technology,Hyderabad,6,17000,Develop mobile applications for Android and iOS platforms using modern frameworks.,"Java,Kotlin,Flutter,React Native,Mobile Development",Undergraduate,2024-03-18
INT009,Human Resources Intern,PeopleFirst Consulting,Human Resources,Mumbai,4,11000,Learn HR processes including recruitment talent management and employee relations.,"Communication,Excel,HR Fundamentals,Interview Skills",Undergraduate,2024-04-08
INT010,E-commerce Operations Intern,ShopEasy Online,E-commerce,Bangalore,5,13000,Manage online store operations including inventory management and customer service.,"Excel,Customer Service,Operations Management,Communication",Undergraduate,2024-03-28
INT011,Mechanical Engineering Intern,AutoParts Manufacturing,Manufacturing,Chennai,6,15000,Work on mechanical design and manufacturing processes in automotive industry.,"AutoCAD,SolidWorks,Manufacturing,Mechanical Design,Engineering Drawing",Undergraduate,2024-04-12
INT012,Environmental Science Intern,GreenEarth Foundation,Environmental,Delhi,4,9000,Support environmental conservation projects and research on sustainability.,"Environmental Science,Research,Data Analysis,Field Work",Graduate,2024-04-02
INT013,Electrical Engineering Intern,PowerGrid Solutions,Energy,Mumbai,6,16000,Assist in electrical system design and maintenance for power distribution networks.,"Electrical Engineering,MATLAB,Circuit Design,Power Systems",Undergraduate,2024-03-22
INT014,Social Media Management Intern,BrandBoost Agency,Marketing,Pune,3,10000,Manage social media accounts and create engaging content for various brands.,"Social Media,Content Creation,Photography,Video Editing",Diploma,2024-04-15
INT015,Business Development Intern,StartupHub Incubator,Business,Bangalore,5,12000,Support startup companies with business development and market research activities.,"Business Analysis,Market Research,Excel,Presentation Skills",Graduate,2024-03-26
INT016,Civil Engineering Intern,ConstructCorp Ltd,Construction,Hyderabad,6,14000,Assist in construction project planning and site management activities.,"AutoCAD,Project Management,Construction Management,Site Surveying",Undergraduate,2024-04-18
INT017,Biotechnology Research Intern,BioLab Research Center,Biotechnology,Pune,5,15000,Conduct laboratory research in biotechnology and pharmaceutical applications.,"Laboratory Skills,Biotechnology,Research Methods,Data Analysis",Graduate,2024-04-06
INT018,Customer Service Intern,ServicePro Solutions,Customer Service,Delhi,3,9000,Provide excellent customer support through phone email and chat channels.,"Communication,Problem Solving,Customer Service,Computer Skills",Diploma,2024-04-20
INT019,Supply Chain Intern,LogiFlow International,Logistics,Mumbai,4,13000,Learn supply chain management and logistics optimization processes.,"Supply Chain,Excel,Operations,Analytics",Undergraduate,2024-03-24
INT020,Journalism Intern,News Today Media,Media,Kolkata,4,11000,Write news articles and assist with media production and reporting activities.,"Writing,Research,Communication,Journalism,News Reporting",Graduate,2024-04-14
